txId,class
tx_100146,unknown
tx_100147,1
tx_100148,2
tx_100149,unknown
tx_100150,unknown
tx_100151,unknown
tx_100152,2
tx_100153,unknown
tx_100154,2
tx_100155,1
tx_100156,unknown
tx_100157,unknown
tx_100158,unknown
tx_100159,unknown
tx_100160,unknown
tx_100161,unknown
tx_100162,unknown
tx_100163,2
tx_100164,unknown
tx_100165,unknown
tx_100166,unknown
tx_100167,unknown
tx_100168,unknown
tx_100169,unknown
tx_100170,2
tx_100171,unknown
tx_100172,unknown
tx_100173,unknown
tx_100174,2
tx_100175,unknown
tx_100176,unknown
tx_100177,unknown
tx_100178,2
tx_100179,unknown
tx_100180,unknown
tx_100181,unknown
tx_100182,unknown
tx_100183,unknown
tx_100184,unknown
tx_100185,unknown
tx_100186,2
tx_100187,unknown
tx_100188,unknown
tx_100189,unknown
tx_100190,2
tx_100191,unknown
tx_100192,unknown
tx_100193,unknown
tx_100194,2
tx_100195,unknown
tx_100196,2
tx_100197,2
tx_100198,unknown
tx_100199,unknown
tx_100200,unknown
tx_100201,unknown
tx_100202,unknown
tx_100203,unknown
tx_100204,unknown
tx_100205,unknown
tx_100206,2
tx_100207,unknown
tx_100208,2
tx_100209,2
tx_100210,1
tx_100211,unknown
tx_100212,unknown
tx_100213,unknown
tx_100214,1
tx_100215,unknown
tx_100216,unknown
tx_100217,unknown
tx_100218,2
tx_100219,unknown
tx_100220,2
tx_100221,unknown
tx_100222,1
tx_100223,unknown
tx_100224,2
tx_100225,unknown
tx_100226,2
tx_100227,unknown
tx_100228,unknown
tx_100229,unknown
tx_100230,unknown
tx_100231,unknown
tx_100232,2
tx_100233,2
tx_100234,2
tx_100235,1
tx_100236,2
tx_100237,2
tx_100238,1
tx_100239,unknown
tx_100240,unknown
tx_100241,unknown
tx_100242,2
tx_100243,unknown
tx_100244,1
tx_100245,2
tx_100246,unknown
tx_100247,2
tx_100248,2
tx_100249,2
tx_100250,unknown
tx_100251,unknown
tx_100252,2
tx_100253,2
tx_100254,unknown
tx_100255,unknown
tx_100256,unknown
tx_100257,unknown
tx_100258,unknown
tx_100259,unknown
tx_100260,unknown
tx_100261,unknown
tx_100262,unknown
tx_100263,2
tx_100264,unknown
tx_100265,2
tx_100266,unknown
tx_100267,2
tx_100268,2
tx_100269,unknown
tx_100270,2
tx_100271,unknown
tx_100272,2
tx_100273,unknown
tx_100274,unknown
tx_100275,2
tx_100276,2
tx_100277,2
tx_100278,1
tx_100279,unknown
tx_100280,unknown
tx_100281,unknown
tx_100282,2
tx_100283,unknown
tx_100284,2
tx_100285,unknown
tx_100286,unknown
tx_100287,unknown
tx_100288,2
tx_100289,unknown
tx_100290,2
tx_100291,2
tx_100292,unknown
tx_100293,unknown
tx_100294,2
tx_100295,unknown
tx_100296,1
tx_100297,unknown
tx_100298,unknown
tx_100299,2
tx_100300,unknown
tx_100301,2
tx_100302,unknown
tx_100303,unknown
tx_100304,unknown
tx_100305,2
tx_100306,unknown
tx_100307,2
tx_100308,2
tx_100309,unknown
tx_100310,unknown
tx_100311,unknown
tx_100312,unknown
tx_100313,unknown
tx_100314,unknown
tx_100315,unknown
tx_100316,unknown
tx_100317,unknown
tx_100318,unknown
tx_100319,unknown
tx_100320,unknown
tx_100321,unknown
tx_100322,unknown
tx_100323,unknown
tx_100324,2
tx_100325,unknown
tx_100326,unknown
tx_100327,unknown
tx_100328,unknown
tx_100329,2
tx_100330,unknown
tx_100331,unknown
tx_100332,2
tx_100333,unknown
tx_100334,2
tx_100335,2
tx_100336,unknown
tx_100337,unknown
tx_100338,2
tx_100339,unknown
tx_100340,unknown
tx_100341,unknown
tx_100342,unknown
tx_100343,unknown
tx_100344,2
tx_100345,unknown
tx_100346,unknown
tx_100347,2
tx_100348,2
tx_100349,unknown
tx_100350,unknown
tx_100351,unknown
tx_100352,unknown
tx_100353,unknown
tx_100354,unknown
tx_100355,1
tx_100356,unknown
tx_100357,unknown
tx_100358,unknown
tx_100359,unknown
tx_100360,unknown
tx_100361,unknown
tx_100362,unknown
tx_100363,unknown
tx_100364,unknown
tx_100365,1
tx_100366,unknown
tx_100367,2
tx_100368,2
tx_100369,unknown
tx_100370,unknown
tx_100371,unknown
tx_100372,2
tx_100373,unknown
tx_100374,unknown
tx_100375,2
tx_100376,unknown
tx_100377,unknown
tx_100378,unknown
tx_100379,unknown
tx_100380,unknown
tx_100381,2
tx_100382,unknown
tx_100383,unknown
tx_100384,unknown
tx_100385,unknown
tx_100386,unknown
tx_100387,unknown
tx_100388,2
tx_100389,unknown
tx_100390,2
tx_100391,unknown
tx_100392,unknown
tx_100393,unknown
tx_100394,unknown
tx_100395,unknown
tx_100396,unknown
tx_100397,unknown
tx_100398,2
tx_100399,unknown
tx_100400,unknown
tx_100401,unknown
tx_100402,unknown
tx_100403,1
tx_100404,unknown
tx_100405,unknown
tx_100406,unknown
tx_100407,unknown
tx_100408,unknown
tx_100409,unknown
tx_100410,unknown
tx_100411,unknown
tx_100412,unknown
tx_100413,2
tx_100414,unknown
tx_100415,2
tx_100416,unknown
tx_100417,unknown
tx_100418,2
tx_100419,unknown
tx_100420,unknown
tx_100421,2
tx_100422,unknown
tx_100423,2
tx_100424,unknown
tx_100425,unknown
tx_100426,unknown
tx_100427,unknown
tx_100428,unknown
tx_100429,unknown
tx_100430,unknown
tx_100431,unknown
tx_100432,unknown
tx_100433,unknown
tx_100434,unknown
tx_100435,unknown
tx_100436,unknown
tx_100437,2
tx_100438,2
tx_100439,unknown
tx_100440,unknown
tx_100441,unknown
tx_100442,unknown
tx_100443,2
tx_100444,unknown
tx_100445,unknown
tx_100446,unknown
tx_100447,2
tx_100448,unknown
tx_100449,unknown
tx_100450,unknown
tx_100451,2
tx_100452,unknown
tx_100453,unknown
tx_100454,unknown
tx_100455,unknown
tx_100456,unknown
tx_100457,unknown
tx_100458,unknown
tx_100459,2
tx_100460,unknown
tx_100461,unknown
tx_100462,2
tx_100463,unknown
tx_100464,unknown
tx_100465,unknown
tx_100466,1
tx_100467,unknown
tx_100468,unknown
tx_100469,unknown
tx_100470,2
tx_100471,unknown
tx_100472,unknown
tx_100473,2
tx_100474,unknown
tx_100475,unknown
tx_100476,unknown
tx_100477,2
tx_100478,unknown
tx_100479,unknown
tx_100480,unknown
tx_100481,unknown
tx_100482,2
tx_100483,unknown
tx_100484,unknown
tx_100485,2
tx_100486,unknown
tx_100487,2
tx_100488,unknown
tx_100489,unknown
tx_100490,unknown
tx_100491,2
tx_100492,unknown
tx_100493,unknown
tx_100494,2
tx_100495,2
tx_100496,unknown
tx_100497,unknown
tx_100498,unknown
tx_100499,unknown
tx_100500,unknown
tx_100501,2
tx_100502,unknown
tx_100503,2
tx_100504,2
tx_100505,unknown
tx_100506,unknown
tx_100507,unknown
tx_100508,unknown
tx_100509,unknown
tx_100510,unknown
tx_100511,unknown
tx_100512,1
tx_100513,unknown
tx_100514,2
tx_100515,unknown
tx_100516,unknown
tx_100517,unknown
tx_100518,unknown
tx_100519,unknown
tx_100520,unknown
tx_100521,unknown
tx_100522,2
tx_100523,unknown
tx_100524,unknown
tx_100525,unknown
tx_100526,unknown
tx_100527,unknown
tx_100528,2
tx_100529,2
tx_100530,2
tx_100531,unknown
tx_100532,unknown
tx_100533,unknown
tx_100534,unknown
tx_100535,2
tx_100536,unknown
tx_100537,2
tx_100538,unknown
tx_100539,unknown
tx_100540,unknown
tx_100541,unknown
tx_100542,unknown
tx_100543,2
tx_100544,unknown
tx_100545,unknown
tx_100546,2
tx_100547,unknown
tx_100548,2
tx_100549,2
tx_100550,unknown
tx_100551,1
tx_100552,unknown
tx_100553,unknown
tx_100554,unknown
tx_100555,unknown
tx_100556,unknown
tx_100557,unknown
tx_100558,2
tx_100559,unknown
tx_100560,2
tx_100561,unknown
tx_100562,2
tx_100563,unknown
tx_100564,2
tx_100565,unknown
tx_100566,unknown
tx_100567,2
tx_100568,2
tx_100569,2
tx_100570,unknown
tx_100571,unknown
tx_100572,unknown
tx_100573,unknown
tx_100574,unknown
tx_100575,unknown
tx_100576,unknown
tx_100577,2
tx_100578,2
tx_100579,2
tx_100580,unknown
tx_100581,unknown
tx_100582,unknown
tx_100583,unknown
tx_100584,unknown
tx_100585,unknown
tx_100586,2
tx_100587,2
tx_100588,1
tx_100589,1
tx_100590,unknown
tx_100591,unknown
tx_100592,unknown
tx_100593,unknown
tx_100594,unknown
tx_100595,2
tx_100596,unknown
tx_100597,2
tx_100598,unknown
tx_100599,2
tx_100600,2
tx_100601,2
tx_100602,unknown
tx_100603,unknown
tx_100604,2
tx_100605,unknown
tx_100606,unknown
tx_100607,unknown
tx_100608,1
tx_100609,unknown
tx_100610,2
tx_100611,unknown
tx_100612,1
tx_100613,unknown
tx_100614,unknown
tx_100615,unknown
tx_100616,unknown
tx_100617,unknown
tx_100618,unknown
tx_100619,unknown
tx_100620,unknown
tx_100621,unknown
tx_100622,unknown
tx_100623,2
tx_100624,unknown
tx_100625,unknown
tx_100626,unknown
tx_100627,unknown
tx_100628,2
tx_100629,unknown
tx_100630,unknown
tx_100631,unknown
tx_100632,unknown
tx_100633,unknown
tx_100634,2
tx_100635,unknown
tx_100636,unknown
tx_100637,unknown
tx_100638,unknown
tx_100639,2
tx_100640,1
tx_100641,unknown
tx_100642,2
tx_100643,unknown
tx_100644,2
tx_100645,2
tx_100646,unknown
tx_100647,2
tx_100648,2
tx_100649,unknown
tx_100650,unknown
tx_100651,unknown
tx_100652,unknown
tx_100653,unknown
tx_100654,1
tx_100655,unknown
tx_100656,unknown
tx_100657,unknown
tx_100658,2
tx_100659,2
tx_100660,2
tx_100661,unknown
tx_100662,unknown
tx_100663,unknown
tx_100664,unknown
tx_100665,unknown
tx_100666,unknown
tx_100667,unknown
tx_100668,unknown
tx_100669,unknown
tx_100670,unknown
tx_100671,2
tx_100672,unknown
tx_100673,unknown
tx_100674,unknown
tx_100675,unknown
tx_100676,1
tx_100677,unknown
tx_100678,unknown
tx_100679,2
tx_100680,1
tx_100681,unknown
tx_100682,unknown
tx_100683,2
tx_100684,unknown
tx_100685,unknown
tx_100686,unknown
tx_100687,unknown
tx_100688,unknown
tx_100689,2
tx_100690,unknown
tx_100691,2
tx_100692,unknown
tx_100693,unknown
tx_100694,unknown
tx_100695,unknown
tx_100696,unknown
tx_100697,2
tx_100698,unknown
tx_100699,2
tx_100700,unknown
tx_100701,2
tx_100702,unknown
tx_100703,1
tx_100704,unknown
tx_100705,2
tx_100706,unknown
tx_100707,2
tx_100708,unknown
tx_100709,unknown
tx_100710,unknown
tx_100711,2
tx_100712,unknown
tx_100713,unknown
tx_100714,unknown
tx_100715,unknown
tx_100716,unknown
tx_100717,2
tx_100718,unknown
tx_100719,unknown
tx_100720,unknown
tx_100721,unknown
tx_100722,unknown
tx_100723,unknown
tx_100724,unknown
tx_100725,unknown
tx_100726,1
tx_100727,unknown
tx_100728,unknown
tx_100729,unknown
tx_100730,unknown
tx_100731,unknown
tx_100732,unknown
tx_100733,unknown
tx_100734,unknown
tx_100735,unknown
tx_100736,unknown
tx_100737,2
tx_100738,1
tx_100739,unknown
tx_100740,unknown
tx_100741,2
tx_100742,unknown
tx_100743,unknown
tx_100744,unknown
tx_100745,2
tx_100746,unknown
tx_100747,unknown
tx_100748,unknown
tx_100749,unknown
tx_100750,2
tx_100751,2
tx_100752,unknown
tx_100753,unknown
tx_100754,unknown
tx_100755,2
tx_100756,unknown
tx_100757,unknown
tx_100758,1
tx_100759,unknown
tx_100760,unknown
tx_100761,2
tx_100762,2
tx_100763,unknown
tx_100764,2
tx_100765,2
tx_100766,unknown
tx_100767,unknown
tx_100768,unknown
tx_100769,unknown
tx_100770,unknown
tx_100771,unknown
tx_100772,unknown
tx_100773,unknown
tx_100774,unknown
tx_100775,unknown
tx_100776,unknown
tx_100777,unknown
tx_100778,unknown
tx_100779,unknown
tx_100780,unknown
tx_100781,unknown
tx_100782,unknown
tx_100783,unknown
tx_100784,2
tx_100785,unknown
tx_100786,unknown
tx_100787,unknown
tx_100788,unknown
tx_100789,unknown
tx_100790,2
tx_100791,unknown
tx_100792,unknown
tx_100793,unknown
tx_100794,unknown
tx_100795,unknown
tx_100796,2
tx_100797,unknown
tx_100798,unknown
tx_100799,unknown
tx_100800,unknown
tx_100801,2
tx_100802,unknown
tx_100803,unknown
tx_100804,2
tx_100805,2
tx_100806,unknown
tx_100807,1
tx_100808,unknown
tx_100809,2
tx_100810,unknown
tx_100811,unknown
tx_100812,2
tx_100813,unknown
tx_100814,unknown
tx_100815,unknown
tx_100816,2
tx_100817,unknown
tx_100818,2
tx_100819,unknown
tx_100820,unknown
tx_100821,2
tx_100822,1
tx_100823,1
tx_100824,2
tx_100825,2
tx_100826,2
tx_100827,2
tx_100828,unknown
tx_100829,unknown
tx_100830,unknown
tx_100831,2
tx_100832,unknown
tx_100833,unknown
tx_100834,unknown
tx_100835,2
tx_100836,2
tx_100837,unknown
tx_100838,unknown
tx_100839,2
tx_100840,unknown
tx_100841,unknown
tx_100842,2
tx_100843,2
tx_100844,unknown
tx_100845,unknown
tx_100846,unknown
tx_100847,unknown
tx_100848,unknown
tx_100849,unknown
tx_100850,2
tx_100851,unknown
tx_100852,2
tx_100853,unknown
tx_100854,unknown
tx_100855,unknown
tx_100856,2
tx_100857,2
tx_100858,unknown
tx_100859,2
tx_100860,unknown
tx_100861,2
tx_100862,unknown
tx_100863,unknown
tx_100864,unknown
tx_100865,2
tx_100866,unknown
tx_100867,unknown
tx_100868,unknown
tx_100869,1
tx_100870,unknown
tx_100871,2
tx_100872,2
tx_100873,unknown
tx_100874,unknown
tx_100875,unknown
tx_100876,unknown
tx_100877,unknown
tx_100878,unknown
tx_100879,unknown
tx_100880,unknown
tx_100881,unknown
tx_100882,unknown
tx_100883,2
tx_100884,unknown
tx_100885,unknown
tx_100886,unknown
tx_100887,2
tx_100888,unknown
tx_100889,2
tx_100890,unknown
tx_100891,2
tx_100892,unknown
tx_100893,unknown
tx_100894,unknown
tx_100895,unknown
tx_100896,unknown
tx_100897,1
tx_100898,unknown
tx_100899,2
tx_100900,unknown
tx_100901,unknown
tx_100902,2
tx_100903,2
tx_100904,unknown
tx_100905,unknown
tx_100906,unknown
tx_100907,unknown
tx_100908,unknown
tx_100909,unknown
tx_100910,unknown
tx_100911,2
tx_100912,unknown
tx_100913,2
tx_100914,2
tx_100915,unknown
tx_100916,unknown
tx_100917,unknown
tx_100918,1
tx_100919,2
tx_100920,unknown
tx_100921,unknown
tx_100922,unknown
tx_100923,unknown
tx_100924,unknown
tx_100925,unknown
tx_100926,unknown
tx_100927,unknown
tx_100928,unknown
tx_100929,2
tx_100930,unknown
tx_100931,unknown
tx_100932,unknown
tx_100933,unknown
tx_100934,unknown
tx_100935,unknown
tx_100936,2
tx_100937,unknown
tx_100938,unknown
tx_100939,unknown
tx_100940,2
tx_100941,2
tx_100942,unknown
tx_100943,unknown
tx_100944,2
tx_100945,unknown
tx_100946,unknown
tx_100947,unknown
tx_100948,unknown
tx_100949,unknown
tx_100950,unknown
tx_100951,unknown
tx_100952,unknown
tx_100953,unknown
tx_100954,unknown
tx_100955,unknown
tx_100956,unknown
tx_100957,2
tx_100958,unknown
tx_100959,unknown
tx_100960,unknown
tx_100961,unknown
tx_100962,2
tx_100963,2
tx_100964,unknown
tx_100965,unknown
tx_100966,unknown
tx_100967,unknown
tx_100968,2
tx_100969,unknown
tx_100970,2
tx_100971,unknown
tx_100972,unknown
tx_100973,unknown
tx_100974,unknown
tx_100975,2
tx_100976,unknown
tx_100977,unknown
tx_100978,unknown
tx_100979,unknown
tx_100980,unknown
tx_100981,2
tx_100982,2
tx_100983,2
tx_100984,unknown
tx_100985,unknown
tx_100986,unknown
tx_100987,2
tx_100988,2
tx_100989,2
tx_100990,unknown
tx_100991,unknown
tx_100992,unknown
tx_100993,2
tx_100994,unknown
tx_100995,2
tx_100996,unknown
tx_100997,unknown
tx_100998,2
tx_100999,unknown
